Name,Team,Gender,Division,Matches Played,Minutes Played,Goals,Assists,Shots,Shots On Target,Yellow Cards,Red Cards,Saves,Goals Against,Fouls Won,Positions Seen,Dominant Position,Points
Simeon Friesen,Northwestern-St. Paul,men,d3,1,62,0,0,1,1,0,0,0,0,1,M,Midfielder,0
Simeon Gunthorpe,Asbury,men,d3,1,34,0,0,0,0,0,0,0,0,0,D,Defender,0
Simon Adjakple,Yale,men,d1,1,32,0,0,0,0,0,0,0,0,0,null,Unknown,0
Simon Bastone,Oswego St.,men,d3,1,60,0,0,0,0,1,0,0,0,1,M,Midfielder,0
Simon Dawid,Adrian,men,d3,1,90,0,0,0,0,0,0,0,0,1,D,Defender,0
Simon Failla,Skidmore,men,d3,1,15,0,0,0,0,0,0,0,0,0,M,Midfielder,0
Simon Gorczowski,Rutgers,men,d1,1,37,0,0,0,0,0,0,0,0,0,D,Defender,0
Simon Grimes,Lebanon Valley,men,d3,1,34,0,0,0,0,0,0,0,0,0,M,Midfielder,0
Simon Guardiero,Omaha,men,d1,1,90,0,0,0,0,0,0,0,0,0,D,Defender,0
Simon Sawyer,Kalamazoo,men,d3,1,90,0,0,0,0,0,0,0,0,3,D,Defender,0
Simon Schonfeld,Hiram,men,d3,1,90,0,0,0,0,0,0,0,0,1,D,Defender,0
Simon Vujinovic,UMBC,men,d1,1,18,0,0,0,0,0,0,0,0,0,M,Midfielder,0
Sinan Bruning,Rhode Island,men,d1,1,74,0,0,2,0,1,0,0,0,2,M,Midfielder,0
Sinan Solmaz,Kentucky,men,d1,1,90,0,0,1,0,0,0,0,0,1,D,Defender,0
Sindri Sigurjonsson,Quinnipiac,men,d1,1,68,0,0,2,0,0,0,0,0,0,null,Unknown,0
Sivert Ryssdalsnes,Quinnipiac,men,d1,1,21,0,0,1,0,0,0,0,0,1,M,Midfielder,0
Sixten Karlsson,Quinnipiac,men,d1,1,21,0,0,0,0,0,0,0,0,1,null,Unknown,0
Sj Aquino,Worcester St.,men,d3,1,75,0,0,0,0,0,0,0,0,0,null,Unknown,0
Skyler Chan,Dallas,men,d3,1,90,0,0,1,0,0,0,0,0,0,null,Unknown,0
Skyler Spikes,Va. Wesleyan,men,d3,1,15,0,0,0,0,0,0,0,0,0,null,Unknown,0
Skyler Wright,Campbell,men,d1,1,36,0,0,0,0,0,0,0,0,1,F,Forward,0
Snadooby Robert,Mitchell,men,d3,2,146,0,0,0,0,1,0,0,0,6,F,Forward,0
Snorre Espersen,Drake,men,d1,1,20,0,0,0,0,0,0,0,0,1,F,Forward,0
Sol Szymanski,Marian (WI),men,d3,1,16,0,0,0,0,0,0,0,0,0,M,Midfielder,0
Sola Nishimura,Carnegie Mellon,men,d3,1,70,0,0,1,0,0,0,0,0,0,D,Defender,0
Somana Hassan,Me.-Farmington,men,d3,1,90,0,0,0,0,1,0,0,0,0,null,Unknown,0
Somto Joseph Ukaegbu,New Jersey City,men,d3,1,90,0,0,0,0,0,0,0,0,0,D,Defender,0
Sorel Richardson,UW-River Falls,men,d3,1,90,1,0,4,2,0,0,0,0,2,null,Unknown,2
Soren Groessl,UC Santa Cruz,men,d3,1,40,0,1,1,1,0,0,0,0,0,M,Midfielder,1
