Name,Team,Gender,Division,Matches Played,Minutes Played,Goals,Assists,Shots,Shots On Target,Yellow Cards,Red Cards,Saves,Goals Against,Fouls Won,Positions Seen,Dominant Position,Points
Jocelyn Wright,Utah Tech,women,d1,2,101,0,0,2,1,0,0,0,0,0,F,Forward,0
Joelle Hamel,Mount St. Mary's,women,d1,1,73,0,0,2,1,0,0,0,0,0,M,Midfielder,0
Joelle Jung,Stanford,women,d1,2,116,1,2,6,3,0,0,0,0,1,M,Midfielder,4
Joelle Stinson,UT Martin,women,d1,2,163,0,0,0,0,1,0,0,0,3,D,Defender,0
Joellie Giquinto,High Point,women,d1,1,35,0,0,0,0,0,0,0,0,0,D,Defender,0
Joey Tomlinson,Robert Morris,women,d1,1,41,0,0,1,0,0,0,0,0,0,F,Forward,0
Johanna Anderson,The Citadel,women,d1,1,2,0,0,0,0,0,0,0,0,0,F,Forward,0
Johoanna Lynn Hornyak,Delaware St.,women,d1,1,70,0,0,0,0,0,1,0,0,0,GK,Goalkeeper,0
Jojo Denegri,Yale,women,d1,2,91,1,0,1,1,0,0,0,0,0,F,Forward,2
Jolee Irvin,Northern Colo.,women,d1,2,68,0,0,4,3,0,0,0,0,1,F,Forward,0
Jolie Bull,St. Bonaventure,women,d1,2,117,0,0,1,0,0,0,0,0,1,null,Unknown,0
Jolie Farmer,Penn St.,women,d1,2,53,0,0,0,0,0,0,0,0,0,F,Forward,0
Jolie Jenkins,Clemson,women,d1,1,46,0,0,0,0,0,0,0,0,0,D,Defender,0
Jolie Jiricek,Colo. Sch. of Mines,women,d1,1,58,0,0,0,0,0,0,0,0,0,D,Defender,0
Jolie Pye,UAlbany,women,d1,2,74,0,0,1,1,0,0,0,0,1,D,Defender,0
Joliye Brass,San Jose St.,women,d1,1,73,0,0,0,0,1,0,0,0,5,M,Midfielder,0
Jona Hennings,Stony Brook,women,d1,2,180,0,0,0,0,0,0,4,2,0,GK,Goalkeeper,0
Jordan Bailey,Central Mich.,women,d1,1,37,0,0,0,0,0,0,0,0,0,F,Forward,0
Jordan Bowermaster,Colo. Sch. of Mines,women,d1,1,34,0,0,0,0,0,0,0,0,0,F,Forward,0
Jordan Bushnell,Houston Christian,women,d1,2,180,0,0,0,0,0,0,0,0,0,D,Defender,0
Jordan Candelaria,Long Beach St.,women,d1,2,159,0,0,2,1,0,0,0,0,2,M,Midfielder,0
Jordan Cole,Delaware St.,women,d1,1,15,0,0,0,0,0,0,0,0,0,F,Forward,0
Jordan Dillingham,Air Force,women,d1,2,168,0,0,0,0,0,0,0,0,4,D,Defender,0
Jordan Fjelstad,Kansas,women,d1,2,175,0,0,0,0,0,0,0,0,1,D,Defender,0
Jordan Follenweider,Army West Point,women,d1,2,169,0,0,1,0,0,0,0,0,2,D,Defender,0
Jordan Frederick,Tulsa,women,d1,2,158,1,0,7,3,0,0,0,0,2,F,Forward,2
Jordan Gary,Saint Louis,women,d1,2,172,0,0,0,0,0,0,0,0,3,F,Forward,0
Jordan Geis,UCLA,women,d1,1,31,0,0,1,0,0,0,0,0,0,F,Forward,0
Jordan Goldstein,Indiana St.,women,d1,2,76,0,0,0,0,0,0,0,0,0,M,Midfielder,0
Jordan Green,Elon,women,d1,1,79,0,0,1,1,0,0,0,0,1,M,Midfielder,0
Jordan Griess,Wyoming,women,d1,1,11,0,0,1,0,0,0,0,0,0,F,Forward,0
Jordan Imes,Purdue Fort Wayne,women,d1,2,135,0,0,0,0,0,0,2,2,0,GK,Goalkeeper,0
Jordan Levasseur,Eastern Ky.,women,d1,1,90,0,0,0,0,1,0,7,0,0,GK,Goalkeeper,0
Jordan Matthews,UTRGV,women,d1,1,13,0,0,0,0,0,0,0,0,0,F,Forward,0
Jordan Novak,Cleveland St.,women,d1,1,90,0,0,0,0,0,0,0,0,1,D,Defender,0
Jordan Nytes,Colorado,women,d1,2,135,0,0,0,0,0,0,2,0,0,GK,Goalkeeper,0
Jordan Rowan,Kansas,women,d1,2,78,1,0,3,1,0,0,0,0,0,F,Forward,2
Jordan Schaetzly,UNC Asheville,women,d1,1,35,0,0,0,0,0,0,0,0,0,D,Defender,0
Jordan Thompson,Clemson,women,d1,1,10,0,0,0,0,0,0,0,0,0,F,Forward,0
Jordan Townsend,Navy,women,d1,1,90,0,0,0,0,0,0,0,0,0,D,Defender,0
Jordan Whiteaker,Colorado,women,d1,2,119,0,3,0,0,0,0,0,0,0,D,Defender,3
Jordan Williams,Alabama St.,women,d1,1,6,0,0,0,0,0,0,0,0,0,F,Forward,0
Jordan Yang,James Madison,women,d1,2,135,0,0,0,0,0,0,0,0,1,D,Defender,0
Jordana Bello,Seton Hall,women,d1,2,80,0,1,0,0,0,0,0,0,0,null,Unknown,1
Jordane Pinette,Maine,women,d1,1,72,0,0,1,0,0,0,0,0,1,F,Forward,0
Jordanne Oberhaus,Akron,women,d1,2,109,0,1,1,0,0,0,0,0,0,"D, M",Defender,1
Jordin Kadiri,NIU,women,d1,2,37,0,0,1,0,0,0,0,0,0,D,Defender,0
Jordyn Canister,CSUN,women,d1,2,103,0,0,6,2,0,0,0,0,1,F,Forward,0
Jordyn Crosby,Auburn,women,d1,2,110,0,2,4,0,0,0,0,0,2,"F, M",Midfielder,2
Jordyn Eldredge Sagapolutele,Hawaii,women,d1,2,34,0,1,0,0,0,0,0,0,0,F,Forward,1
Jordyn Hardeman,Virginia,women,d1,2,47,0,0,0,0,0,0,0,0,0,D,Defender,0
Jordyn Klaasen,Ball St.,women,d1,2,165,0,0,0,0,0,0,0,0,2,D,Defender,0
Jordyn Mariam,Rice,women,d1,1,14,0,0,0,0,0,0,0,0,0,M,Midfielder,0
Jordyn Saddler,NIU,women,d1,2,148,0,0,0,0,1,0,0,0,2,D,Defender,0
Jordyn Womack,Portland,women,d1,1,18,0,0,0,0,0,0,0,0,0,F,Forward,0
Josefine Schlichting,San Diego,women,d1,2,90,0,0,1,1,0,0,0,0,0,F,Forward,0
Josetiarainnah Olaco,Jackson St.,women,d1,2,40,0,0,0,0,0,0,0,0,2,null,Unknown,0
Josie Bieda,Marquette,women,d1,2,147,0,0,3,3,0,0,0,0,0,F,Forward,0
Josie Deline,Portland St.,women,d1,1,72,0,0,0,0,0,0,0,0,0,D,Defender,0
Josie Johnson,West Virginia,women,d1,1,17,0,0,0,0,0,0,0,0,1,D,Defender,0
Josie Jones,Iowa,women,d1,2,154,1,0,3,3,0,0,0,0,3,M,Midfielder,2
Josie Langhans,Eastern Mich.,women,d1,1,23,0,0,0,0,0,0,0,0,0,F,Forward,0
Josie Master,Colorado,women,d1,2,42,1,0,1,1,0,0,0,0,1,F,Forward,2
Josie Mcdonald,Mt. St. Joseph,women,d1,1,18,0,0,0,0,0,0,0,0,0,M,Midfielder,0
Josie Morgan,Kent St.,women,d1,1,74,0,0,1,0,0,0,0,0,2,F,Forward,0
Josie Owen-Kren,Michigan,women,d1,2,22,0,0,0,0,0,0,0,0,0,D,Defender,0
Josie Pochocki,Southern Ind.,women,d1,2,60,0,1,1,0,0,0,0,0,0,F,Forward,1
Josie Pratl,Indiana,women,d1,1,77,0,0,0,0,0,0,0,0,0,D,Defender,0
Josie Seehafer,Evansville,women,d1,1,35,0,0,0,0,0,0,0,0,0,M,Midfielder,0
Josie Shepherd,Utah Valley,women,d1,2,173,0,0,1,0,0,0,0,0,3,M,Midfielder,0
